,,,,,,,,,,
,45 / 45,,,Black Hubbas Historical Challenges,,,,,,100%
,,,,,,,,,,
,#,Time,,Stance,Skater,Trick,Location,Film Source,,Done
,01,3:25,https://youtu.be/ZCqfmWa4bP8?si=65l36Z-RPhCdaHyu&t=205,Goofy,Alex Olson,Fs Kickflip,,Girl - Pretty Sweet,https://youtu.be/4y1nzhYELcc?si=dV3L5YZITMNe44JL&t=2329,TRUE
,02,3:29,https://youtu.be/ZCqfmWa4bP8?si=JNm77yiBxEyDSmxn&t=209,Goofy,Alex Olson,Kickflip,,William Strobeck - The Fat Kid,https://youtu.be/zxBAUmCmC34?si=p9KjJEPXcSNxrcFt&t=250,TRUE
,03,3:34,https://youtu.be/ZCqfmWa4bP8?si=96oRbc1mbRKb1_ai&t=214,Goofy,Diego Najera,Nollie Kickflip,,Primitive - Opal Promo,https://youtu.be/U_127Zq0HqU?si=HVo5EgdZVrpjiX8j&t=393,TRUE
,04,0:54,https://youtu.be/ZCqfmWa4bP8?si=lxWtJvxYCiUsM4Jl&t=54,Regular,Jake Donnelly,Switch Fs Flip,,Adidas - Away Days,https://youtu.be/uyf9bhL56YA?si=AItKi2q873Cz4rCq&t=1165,TRUE
,05,0:58,https://youtu.be/ZCqfmWa4bP8?si=bIaTlf9j_3JJyNzQ&t=58,Regular,Tyshawn Jones,Bs Heelflip,,Adidas - Away Days,https://youtu.be/uyf9bhL56YA?si=UZijnY-BlhmFeqz7&t=3066,TRUE
,06,1:02,https://youtu.be/ZCqfmWa4bP8?si=4xPuoDJfI4Dw6BPH&t=62,Regular,Tyshawn Jones,Fs Heelflip,,Adidas - Away Days,https://youtu.be/uyf9bhL56YA?si=686BF2cJEN8U7q3M&t=3068,TRUE
,07,1:07,https://youtu.be/ZCqfmWa4bP8?si=JTAu9aiHDtfDpsmv&t=67,Regular,Tyshawn Jones,Heelflip,,Supreme - Cherry,,TRUE
,08,1:41,https://youtu.be/ZCqfmWa4bP8?si=SJNtRNEroFlyxmvs&t=101,Regular,Eli Reed,Switch Kickflip,,Zoo York - State of Mind,https://youtu.be/S6snwVy7x-4?si=MXRry-nXc938hk5m&t=1979,TRUE
,09,1:47,https://youtu.be/ZCqfmWa4bP8?si=PW2OdtSv-cGDkllq&t=107,Regular,Jake Johnson,Fakie Fs Kickflip,,,,TRUE
,10,1:53,https://youtu.be/ZCqfmWa4bP8?si=Uep6Y0MXUrVk6QPa&t=113,Regular,Na-Kel Smith,Nollie Hardflip,,Supreme - Cherry,https://youtu.be/0zIVTDbve7k?si=KpRBuUX9IiPTHo5k&t=599,TRUE
,11,4:10,https://youtu.be/ZCqfmWa4bP8?si=tYlY7U9MeB_kY9fS&t=250,Goofy,Rodney Torres,360 Flip,,Osiris - The Storm,https://youtu.be/xOa5we87qkI?si=n1GQ3Ud4MFTJLDJs&t=1321,TRUE
,12,1:59,https://youtu.be/ZCqfmWa4bP8?si=fE0CBJxjdYJCB1sY&t=119,Regular,Tyshawn Jones,Hardflip,,Supreme - Cherry,https://youtu.be/0zIVTDbve7k?si=PV0NpAw1czkI4uQB&t=589,TRUE
,13,2:05,https://youtu.be/ZCqfmWa4bP8?si=A5jMC1ipteFl7yBY&t=125,Regular,Tyshawn Jones,Nollie Kickflip,,Supreme - Cherry,,TRUE
