,,,,,,,,,,,,,,
,14 / 14,,,,,China Banks Historical Challenges,,,,,,,,100%
,,,,,,,,,,,,,,
,#,Time,URL,Start_Seconds,End_Seconds,Stance,Skater,Trick,Location,Film Source,Film_URL,F_Start_Seconds,F_End_Seconds,Done
,01,0:00,https://youtu.be/PRJ3dRXTep0?si=9-RfQSQmxb6U2Rgo,,,Regular,Axel Cruysberghs,Impossible,,,,,,TRUE
,02,0:05,https://youtu.be/PRJ3dRXTep0?si=WN9lK4-MuSYepP0q&t=5,,,Goofy,Daniel Dubois,Fs Kickflip,,,,,,TRUE
,03,0:11,https://youtu.be/PRJ3dRXTep0?si=FVfAZZEGE2MKETHf&t=11,,,Goofy,Daniel Dubois,Bs Pop Shuv-It,,,,,,TRUE
,04,0:38,https://youtu.be/PRJ3dRXTep0?si=MFxF7WSCIgDB9Z0q&t=38,,,Goofy,Jaakko Ojanen,Varial Kickflip,,Jaakko and Friend,,,,TRUE
,05,0:42,https://youtu.be/PRJ3dRXTep0?si=4_MslSJCqMxtFu6C&t=42,,,Goofy,Jerry Gruney,Bs Ollie,,Wizard Bloody Wizard,,,,TRUE
,06,0:21,https://youtu.be/PRJ3dRXTep0?si=m6QytKR9sHTSNBkz&t=21,,,Goofy,Joe Valdez,Ollie,,Season 3,,,,TRUE
,07,0:15,https://youtu.be/PRJ3dRXTep0?si=SLUGbZTP-Zny76ax&t=15,,,Goofy,Kevin Braun,Switch Fs Kickflip,,,,,,TRUE
,08,0:46,https://youtu.be/PRJ3dRXTep0?si=f-sAbyVC5rv8cWOf&t=46,,,Goofy,Rowan Zorilla,Nollie Kickflip,,Blessed,,,,TRUE
,09,0:56,https://youtu.be/PRJ3dRXTep0?si=To31WVJl9h4V-rZp&t=56,,,Goofy,John Cardiel,Fs 50-50,,,,,,TRUE
,10,0:50,https://youtu.be/PRJ3dRXTep0?si=x8LEBhUzSDa9e3gx&t=50,,,Goofy,Jaakko Ojanen,Bs Tailslide,,Jaakko and Friend,,,,TRUE
,11,1:02,https://youtu.be/PRJ3dRXTep0?si=-jTO5qCVQfHv9j7m&t=62,,,Goofy,Phil Shao,Fs Smith,,Think - Dedication,,,,TRUE
,12,1:07,https://youtu.be/PRJ3dRXTep0?si=0EHOgjEx1_W2QiGM&t=67,,,Goofy,Phil Shao,Fs Tailslide,,Think - Dedication,,,,TRUE
,13,0:27,https://youtu.be/PRJ3dRXTep0?si=3620WxV4dEJoUktQ&t=27,,,Goofy,Denis Busenitz,Bs 180 Ollie Fakie Manual Fakie Bs 180 Out,,,,,,TRUE
,14,0:32,https://youtu.be/PRJ3dRXTep0?si=vlC89KzcbEMBSz25&t=32,,,Goofy,Denis Busenitz,Fakie ollie - Switch Fs Bigspin,,,,,,TRUE
,,,,,,,,,,,,,,Home
