,,,,,,,,,,,,,,
,7 / 7,,,,,Jerome Banks Historical Challenges,,,,,,,,100%
,,,,,,,,,,,,,,
,#,Time,URL,Start_Seconds,End_Seconds,Stance,Skater,Trick,Location,Film Source,Film_URL,F_Start_Seconds,F_End_Seconds,Done
,01,0:00,https://www.youtube.com/watch?v=DbMaSfuPa9c,,,Goofy,Brian Delatorre,Fakie Ollie,,,,,,TRUE
,02,0:06,https://www.youtube.com/watch?v=DbMaSfuPa9c&t=6s,,,Goofy,Brian Delatorre,Nollie Kickflip,,,,,,TRUE
,03,0:11,https://www.youtube.com/watch?v=DbMaSfuPa9c&t=11s,,,Regular,Tyshawn Jones,360 Flip,,,,,,TRUE
,04,0:17,https://www.youtube.com/watch?v=DbMaSfuPa9c&t=17s,,,Regular,Tyshawn Jones,Switch Fs Heelflip,,,,,,TRUE
,05,0:23,https://www.youtube.com/watch?v=DbMaSfuPa9c&t=23s,,,Regular,Tyshawn Jones,Nollie Heelflip,,,,,,TRUE
,06,0:29,https://www.youtube.com/watch?v=DbMaSfuPa9c&t=29s,,,Regular,T-Funk,Ollie,,,,,,TRUE
,07,0:35,https://www.youtube.com/watch?v=DbMaSfuPa9c&t=35s,,,Regular,Aaron Herrington,Ollie - Powerslide - Ollie - Powerslide - Ollie,,,,,,TRUE
,,,,,,,,,,,,,,Home
