,,,,,,,,,,,,,,
,21 / 21,,,,,Les Coleman Park  Historical Challenges,,,,,,,,100%
,,,,,,,,,,,,,,
,#,Time,URL,Start_Seconds,End_Seconds,Stance,Skater,Trick,Location,Film Source,Film_URL,F_Start_Seconds,F_End_Seconds,Done
,01,0:35,https://www.youtube.com/watch?v=sX5jlfd-9fs&t=35s,,,Goofy,Alex Olson,Fs 360,,,,,,TRUE
,02,1:19,https://www.youtube.com/watch?v=sX5jlfd-9fs&t=79s,,,Goofy,Benny Fairfax,Switch Fs Heelflip,,Adidas Team Skate LES Park,https://youtu.be/7I9idMgiVOM?si=XKLS28FeuTOSZjFG&t=40,,,TRUE
,03,0:58,https://www.youtube.com/watch?v=sX5jlfd-9fs&t=58s,,,Regular,Brian Anderson,Bs Impossible,,Nike SB Demo,https://youtu.be/ruUinpOue_s?si=iepU9GTJqafAeT59&t=29,,,TRUE
,04,0:15,https://www.youtube.com/watch?v=sX5jlfd-9fs&t=15s,,,Goofy,Dashawn Jordan,Fs Flip,,,,,,TRUE
,05,0:19,https://www.youtube.com/watch?v=sX5jlfd-9fs&t=19s,,,Goofy,Dashawn Jordan,Laser Flip,,,,,,TRUE
,06,0:27,https://www.youtube.com/watch?v=sX5jlfd-9fs&t=27s,,,Goofy,Ishod Wair,Hardflip,,,,,,TRUE
,07,1:07,https://www.youtube.com/watch?v=sX5jlfd-9fs&t=67s,,,Goofy,Eric Koston,Nollie Bs 180,,,,,,TRUE
,08,1:15,https://www.youtube.com/watch?v=sX5jlfd-9fs&t=75s,,,Regular,Lucas Puig,Switch Bs Flip,,Adidas Team Skate LES Park,https://youtu.be/7I9idMgiVOM?si=NV1mhpm3MilVOSmy&t=109,,,TRUE
,09,1:03,https://www.youtube.com/watch?v=sX5jlfd-9fs&t=63s,,,Regular,Lucas Puig,Nollie Over Big Apple,,Adidas Team Skate LES Park,https://youtu.be/7I9idMgiVOM?si=I9-yS7rarYv4afcR&t=83,,,TRUE
,10,0:38,https://www.youtube.com/watch?v=sX5jlfd-9fs&t=38s,,,Goofy,Paul Rodriguez,Fs Big Spin,,Nike SB Demo,https://youtu.be/ruUinpOue_s?si=VGrGBCMIrGwEszx2&t=17,,,TRUE
,11,1:11,https://www.youtube.com/watch?v=sX5jlfd-9fs&t=71s,,,Goofy,Paul Rodriguez,Nollie Bs Heelflip,,Nike SB Demo,https://youtu.be/ruUinpOue_s?si=QRYFVaXT9XPKROqd&t=40,,,TRUE
,12,1:25,https://www.youtube.com/watch?v=sX5jlfd-9fs&t=85s,,,Goofy,Paul Rodriguez,Switch 360 Flip,,Nike SB Demo,https://youtu.be/ruUinpOue_s?si=A-KvHCZXtQzIHowQ&t=45,,,TRUE
,13,0:46,https://www.youtube.com/watch?v=sX5jlfd-9fs&t=46s,,,Goofy,Paul Rodriguez,360 Flip,,Nike SB Demo,https://youtu.be/ruUinpOue_s?si=UdgtpQ2EyrZOpLz_&t=10,,,TRUE
,14,0:50,https://www.youtube.com/watch?v=sX5jlfd-9fs&t=50s,,,Goofy,Paul Rodriguez,VarialHeel,,Nike SB Demo,https://youtu.be/ruUinpOue_s?si=r-f9Y52kkKXCF-Cd&t=15,,,TRUE
,15,0:54,https://www.youtube.com/watch?v=sX5jlfd-9fs&t=54s,,,Regular,Sean Malto,HardFlip,,,,,,TRUE
,16,0:42,https://www.youtube.com/watch?v=sX5jlfd-9fs&t=42s,,,Goofy,Theotis Beasley,Fs Flip,,,,,,TRUE
,17,0:11,https://www.youtube.com/watch?v=sX5jlfd-9fs&t=11s,,,Goofy,Yoshi Tanenbaum,Kickflip,,,,,,TRUE
,18,0:07,https://www.youtube.com/watch?v=sX5jlfd-9fs&t=7s,,,Goofy,Yoshi Tanenbaum,360 Flip,,,,,,TRUE
,19,0:02,https://www.youtube.com/watch?v=sX5jlfd-9fs&t=2s,,,Regular,Zion Wright,Bs 360,,Real Part,,,,TRUE
,20,0:23,https://www.youtube.com/watch?v=sX5jlfd-9fs&t=23s,,,Regular,Zion Wright,Switch Heelflip,,Real Part,,,,TRUE
,21,0:31,https://www.youtube.com/watch?v=sX5jlfd-9fs&t=31s,,,Regular,Zion Wright,360 Flip,,Real Part,,,,TRUE
,,,,,,,,,,,,,,Home
