,,,,,,,,,,,,,,,,
,73 / 73,,,,,Lower Manhattan Historical Challenges,,,,,,,,100%,,
,,,,,,,,,,,,,,,,
,#,Time,URL,Start_Seconds,End_Seconds,Stance,Skater,Trick,Location,Film Source,Film_URL,F_Start_Seconds,F_End_Seconds,Done,,
,01,0:02,https://www.youtube.com/watch?v=2EVPt1Wssy0,2,8,Regular,Bob Puleo,Nollie Bs Heelflip,,,,,,TRUE,,
,02,6:40,https://www.youtube.com/watch?v=2EVPt1Wssy0,400,404,Goofy,Brandon Westgate ,360 Flip,,,,,,TRUE,,
,03,0:22,https://www.youtube.com/watch?v=2EVPt1Wssy0,22,25,Regular,Brian Wenning ,Switch Heelflip,,,,,,TRUE,,
,04,0:35,https://www.youtube.com/watch?v=2EVPt1Wssy0,35,38,Regular,Brian Wenning ,Nollie Fs 180,,,,,,TRUE,,
,05,0:38,https://www.youtube.com/watch?v=2EVPt1Wssy0,38,42,Regular,Brian Wenning ,Switch 360 Flip,,,,,,TRUE,,
,06,2:44,https://www.youtube.com/watch?v=2EVPt1Wssy0,164,168,Regular,Brian Wenning ,Switch Ollie,,,,,,TRUE,,
,07,2:49,https://www.youtube.com/watch?v=2EVPt1Wssy0,169,173,Regular,Dustin Blauvelt ,Bs 360 Ollie,,,,,,TRUE,,
,08,3:59,https://www.youtube.com/watch?v=2EVPt1Wssy0,239,241,Goofy,Mike Carroll ,KickFlip,,,,,,TRUE,,
,09,1:59,https://www.youtube.com/watch?v=2EVPt1Wssy0,119,123,Regular,Chad Muska,Fs KickFlip,,,,,,TRUE,,
,10,0:43,https://www.youtube.com/watch?v=2EVPt1Wssy0,43,46,Regular,Chad Muska,Fs KickFlip,,,,,,TRUE,,
,11,6:45,https://www.youtube.com/watch?v=2EVPt1Wssy0,405,409,Goofy,Colin Hale ,Nollie Bs Heelflip,,,,,,TRUE,,
,12,5:37,https://www.youtube.com/watch?v=2EVPt1Wssy0,337,341,Goofy,Davis Torgerson ,Nollie Heelflip,,,,,,TRUE,,
,13,3:40,https://www.youtube.com/watch?v=2EVPt1Wssy0,220,225,Regular,Crea-ture Studio ,Fs Kickflip,,,,,,TRUE,,
,14,0:46,https://www.youtube.com/watch?v=2EVPt1Wssy0,46.5,49,Regular,Frank Grewer ,KickFlip,,,,,,TRUE,,
,15,0:26,https://www.youtube.com/watch?v=2EVPt1Wssy0,26,29,Regular,Ryan Hickey ,Fs KickFlip,,,,,,TRUE,,
,16,5:42,https://www.youtube.com/watch?v=2EVPt1Wssy0,342,345,Goofy,Ishod Wair ,HardFlip,,,,,,TRUE,,
,17,4:02,https://www.youtube.com/watch?v=2EVPt1Wssy0,242,245,Goofy,Harold Hunter ,Bs HeelFlip,,,,,,TRUE,,
,18,0:30,https://www.youtube.com/watch?v=2EVPt1Wssy0,30,34,Regular,Christian Hosoi ,Ollie,,,,,,TRUE,,
,19,0:50,https://www.youtube.com/watch?v=2EVPt1Wssy0,50,53,Regular,Jake Johnson ,Fakie Heelflip,,,,,,TRUE,,
,20,3:48,https://www.youtube.com/watch?v=2EVPt1Wssy0,228,233,Goofy,Jeff Pang,Heelflip,,,,,,TRUE,,
,21,0:08,https://www.youtube.com/watch?v=2EVPt1Wssy0,8,12,Regular,Jahmal Williams ,Bs Heelflip,,,,,,TRUE,,
,22,5:46,https://www.youtube.com/watch?v=2EVPt1Wssy0,346,350,Goofy,Kevin Bradley ,Fs 360,,,,,,TRUE,,
,23,0:13,https://www.youtube.com/watch?v=2EVPt1Wssy0,13,17,Regular,Kit Ericson,Bs Bigger flip,,,,,,TRUE,,
,24,4:06,https://www.youtube.com/watch?v=2EVPt1Wssy0,246,249,Goofy,Eric Koston ,Bs KickFlip,,,,,,TRUE,,
,25,4:09,https://www.youtube.com/watch?v=2EVPt1Wssy0,249.5,252.5,Goofy,Eric Koston ,HeelFlip,,,,,,TRUE,,
,26,4:13,https://www.youtube.com/watch?v=2EVPt1Wssy0,253,258,Goofy,Eric Koston ,Nollie Bs Heelflip,,,,,,TRUE,,
,27,2:54,https://www.youtube.com/watch?v=2EVPt1Wssy0,174,178,Regular,Kyle Fredrick ,Rear Foot Late Fs Shove-It,,,,,,TRUE,,
,28,5:14,https://www.youtube.com/watch?v=2EVPt1Wssy0,314,318,Goofy,Kyle James ,Nollie Heelflip,,,,,,TRUE,,
,29,0:18,https://www.youtube.com/watch?v=2EVPt1Wssy0,18,21,Regular,Mike Fitzgerald ,Fs KickFlip,,,,,,TRUE,,
,30,4:17,https://www.youtube.com/watch?v=2EVPt1Wssy0,257,259.5,Goofy,Rob Welsh ,Switch 360 Flip,,,,,,TRUE,,
,31,2:04,https://www.youtube.com/watch?v=2EVPt1Wssy0,124,128,Regular,Sage Elsesser ,HeelFlip,,,,,,TRUE,,
