,,,,,,,,,,,,,,
,74 / 82,,,,,Philly Historical Challenges,,,,,,,,90%
,,,,,,,,,,,,,,
,#,Time,URL,Start_Seconds,End_Seconds,Stance,Skater,Trick,Location,Film Source,Film_URL,F_Start_Seconds,F_End_Seconds,Done
,01,0:00,https://www.youtube.com/watch?v=i6WdyyBgJLk,,,Regular,Chris Cole,Bs Kickflip,,411VM Issue 40,,,,TRUE
,02,0:04,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=4s,,,Regular,Chris Cole,360 Flip,,411VM Issue 40,,,,TRUE
,03,0:08,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=8s,,,Regular,Chris Cole,Switch Hardflip,,411VM Issue 40,,,,TRUE
,04,4:56,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=296s,,,Goofy,Josh Kalis,360 Flip,,Photosynthesis,,,,TRUE
,05,5:01,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=301s,,,Goofy,Josh Kalis,Varial Heel,,The DC Video,,,,TRUE
,06,5:05,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=305s,,,Goofy,Josh Kalis,Switch bs Heel,,The DC Video,,,,TRUE
,07,5:09,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=309s,,,Goofy,Josh Kalis,360 Flip,,Photosynthesis,,,,TRUE
,08,0:32,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=32s,,,Regular,Kerry Getz,Switch Heel,,Photosynthesis,,,,TRUE
,09,0:37,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=37s,,,Regular,Kerry Getz,Bs Kickflip,,Jump off a Building,,,,TRUE
,10,1:08,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=68s,,,Regular,Andrew Reynolds,Fs Kickflip,,This is Skateboarding,,,,TRUE
,11,1:14,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=74s,,,Regular,Brian Wenning,Switch Bs Ollie,,The DC Video,,,,TRUE
,12,1:19,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=79s,,,Regular,Chris Cole,Bs 360,,Ride The Sky,,,,TRUE
,13,1:24,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=84s,,,Regular,Chris Cole,Bs Kickflip,,In Bloom,,,,TRUE
,14,1:29,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=89s,,,Regular,Chris Cole,Switch Fs Kickflip,,In Bloom,,,,TRUE
,15,1:34,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=94s,,,Regular,Eric Kunman,360 Flip,,Something Wild,,,,TRUE
,16,5:24,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=324s,,,Goofy,Ishod Wair,Fs Pop Shove-It,,Sabotage 3,,,,TRUE
,17,5:29,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=329s,,,Goofy,Ishod Wair,Switch Fs Bigspin,,Wear n Tear,,,,TRUE
,18,1:39,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=99s,,,Regular,Jamie Thomas,Fs 180,,Welcome to Hell,,,,TRUE
,19,5:34,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=334s,,,Goofy,Jeremy Wray,Frontside 360 Ollie,,Plan B,,,,TRUE
,20,1:45,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=105s,,,Regular,Jimmy Carlin,Hardflip,,Perpetual Motion,,,,TRUE
,21,1:49,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=109s,,,Regular,Kerry Getz,Kickflip,,Jump off a Building,,,,TRUE
,22,5:38,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=338s&pp=0gcJCTAAlc8ueATH,,,Goofy,Mark Suciu,Varial Heel,,Sabotage 3,,,,TRUE
,23,1:53,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=113s,,,Regular,Tom Asta,Switch Bs Heel,,Color Theory,,,,TRUE
,24,1:57,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=117s,,,Regular,Tom Asta,Switch Heel,,Color Theory,,,,TRUE
,25,5:43,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=343s&pp=0gcJCTAAlc8ueATH,,,Goofy,Vinnie Ponte,Ollie,,Zoo York Mixtape,,,,TRUE
,26,0:12,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=12s,,,Regular,Kerry Getz,Switch Fs Kickflip,,Feedback,,,,TRUE
,27,0:15,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=15s,,,Regular,Kerry Getz,Fakie Fs Kickflip,,Feedback,,,,TRUE
,28,0:19,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=19s,,,Regular,Kerry Getz,Nollie Kickflip,,Feedback,,,,TRUE
,29,3:53,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=233s,,,Regular,Adam Hribar,Kickflip,,Sabotage,,,,TRUE
