,,,,,,,,,,
,68 / 68,,,Pier 7 Historical Challenges,,,,,,100%
,,,,,,,,,,
,#,Time,,Stance,Skater,Trick,Location,Film Source,,Done
,01,3:52,https://www.youtube.com/watch?v=H-HdLxI6ijc&t=232s,Goofy,Marcus McBride,Treflip,,,,TRUE
,02,3:57,https://www.youtube.com/watch?v=H-HdLxI6ijc&t=237s&pp=0gcJCTAAlc8ueATH,Goofy,Marcus McBride,Bs Heelflip,,,,TRUE
,03,4:01,https://www.youtube.com/watch?v=H-HdLxI6ijc&t=241s,Goofy,Marcus McBride,fs 360 Ollie,,,,TRUE
,04,4:05,https://www.youtube.com/watch?v=H-HdLxI6ijc&t=245s,Goofy,Marcus McBride,fs Kickflip,,,,TRUE
,05,4:08,https://www.youtube.com/watch?v=H-HdLxI6ijc&t=248s,Goofy,Marcus McBride,Bs fakie Kickflip,,,,TRUE
,06,4:12,https://www.youtube.com/watch?v=H-HdLxI6ijc&t=252s,Goofy,Marcus McBride,Bs Nollie Heelflip,,,,TRUE
,07,4:17,https://www.youtube.com/watch?v=H-HdLxI6ijc&t=257s,Goofy,Marcus McBride,Nollie Kickflip,,,,TRUE
,08,4:21,https://www.youtube.com/watch?v=H-HdLxI6ijc&t=261s&pp=0gcJCTAAlc8ueATH,Goofy,Marcus McBride,fs Nollie Kickflip,,,,TRUE
,09,4:24,https://www.youtube.com/watch?v=H-HdLxI6ijc&t=264s,Goofy,Marcus McBride,fs Nollie Heelflip,,,,TRUE
,10,4:29,https://www.youtube.com/watch?v=H-HdLxI6ijc&t=269s,Goofy,Marcus McBride,Nollie Heelflip,,,,TRUE
,11,4:33,https://www.youtube.com/watch?v=H-HdLxI6ijc&t=273s,Goofy,Marcus McBride,Nollie Inward Heelflip,,,,TRUE
,12,4:38,https://www.youtube.com/watch?v=H-HdLxI6ijc&t=278s,Goofy,Marcus McBride,Nollie Bs PopShuvIt,,,,TRUE
,13,4:42,https://www.youtube.com/watch?v=H-HdLxI6ijc&t=282s,Goofy,Marcus McBride,Inward Heelflip,,,,TRUE
,14,4:46,https://www.youtube.com/watch?v=H-HdLxI6ijc&t=286s,Goofy,Marcus McBride,Switch Treflip,,,,TRUE
,15,4:49,https://www.youtube.com/watch?v=H-HdLxI6ijc&t=289s,Goofy,Marcus McBride,Bs Switch Kickflip,,,,TRUE
,16,4:53,https://www.youtube.com/watch?v=H-HdLxI6ijc&t=293s,Goofy,Marcus McBride,Bs Switch Heelflip,,,,TRUE
,17,4:58,https://www.youtube.com/watch?v=H-HdLxI6ijc&t=298s,Goofy,Marcus McBride,fs Switch Kickflip,,,,TRUE
,18,5:02,https://www.youtube.com/watch?v=H-HdLxI6ijc&t=302s,Goofy,Marcus McBride,fs Switch Heelflip,,,,TRUE
,19,5:06,https://www.youtube.com/watch?v=H-HdLxI6ijc&t=306s,Goofy,Marcus McBride,Switch Heelflip,,,,TRUE
,20,5:10,https://www.youtube.com/watch?v=H-HdLxI6ijc&t=310s,Goofy,Marcus McBride,Switch Bs PopShuvIt,,,,TRUE
,21,3:04,https://www.youtube.com/watch?v=H-HdLxI6ijc&t=184s,Goofy,Eric Koston,Switch Treflip,,,,TRUE
,22,3:18,https://www.youtube.com/watch?v=H-HdLxI6ijc&t=198s,Goofy,Ethan Fowler,Bs Kickflip,,,,TRUE
