,,,,,,,,,,,,,,
,23 / 23,,,,,Pyramid Ledges Historical Challenges,,,,,,,,100%
,,,,,,,,,,,,,,
,#,Time,URL,Start_Seconds,End_Seconds,Stance,Skater,Trick,Location,Film Source,Film_URL,F_Start_Seconds,F_End_Seconds,Done
,01,1:37,https://www.youtube.com/watch?v=C6KDGPMsXBQ&t=97s,,,Goofy,Aaron Snyder,Fs OverCrook,,,,,,TRUE
,02,1:42,https://www.youtube.com/watch?v=C6KDGPMsXBQ&t=102s,,,Goofy,Aaron Snyder,Fs Bluntslide,,,,,,TRUE
,03,1:47,https://www.youtube.com/watch?v=C6KDGPMsXBQ&t=107s,,,Goofy,Josh Kalis,Fs Noseblunt,,,,,,TRUE
,04,0:43,https://www.youtube.com/watch?v=C6KDGPMsXBQ&t=43s,,,Goofy,Mark Suciu - Silas Baxter-Neal,Bs Noseblunt,,,,,,TRUE
,05,0:50,https://www.youtube.com/watch?v=C6KDGPMsXBQ&t=50s,,,Goofy,Jahmir Brown,Switch Ollie - Bs Noseblunt,,,,,,TRUE
,06,0:21,https://www.youtube.com/watch?v=C6KDGPMsXBQ&t=21s,,,Regular,Tory Stilwell,Fs Tail Big Heel Out,,,,,,TRUE
,07,1:52,https://www.youtube.com/watch?v=C6KDGPMsXBQ&t=112s,,,Goofy,Aaron Snyder,Treflip - Ollie - Fs Noseslide,,,,,,TRUE
,08,0:27,https://www.youtube.com/watch?v=C6KDGPMsXBQ&t=27s,,,Regular,Eli Reed,Switch Bs Pop ShuvIt - Bs Crooked,,,,,,TRUE
,09,0:05,https://www.youtube.com/watch?v=C6KDGPMsXBQ&t=5s,,,Regular,Felipe Oliveria,BS Noseslide - Nollie Kickflip,,,,,,TRUE
,10,0:32,https://www.youtube.com/watch?v=C6KDGPMsXBQ&t=32s,,,Regular,Frankie Spears,FS Bluntslide - Kickflip,,,,,,TRUE
,11,2:00,https://www.youtube.com/watch?v=C6KDGPMsXBQ&t=120s,,,Goofy,Giovanni Lannucci,Nollie Heelflip - Ollie - Fs Noseslide,,,,,,TRUE
,12,0:00,https://www.youtube.com/watch?v=C6KDGPMsXBQ,,,Regular,Jake Johnson,Switch Kickflip - Bs Nosegrind,,,,,,TRUE
,13,0:10,https://www.youtube.com/watch?v=C6KDGPMsXBQ&t=10s,,,Regular,Jake Johnson,Treflip - Bs Noseslide,,,,,,TRUE
,14,0:56,https://www.youtube.com/watch?v=C6KDGPMsXBQ&t=56s,,,Goofy,Josh Kalis,Bs Tail - Switch Bs Pop ShuvIt,,,,,,TRUE
,15,1:25,https://www.youtube.com/watch?v=C6KDGPMsXBQ&t=85s&pp=0gcJCTAAlc8ueATH,,,Goofy,Josh Kalis,Bs Pop ShuvIt - Bs Tail,,,,,,TRUE
,16,1:01,https://www.youtube.com/watch?v=C6KDGPMsXBQ&t=61s,,,Goofy,Lou Sarowsky,KickFlip - Fs Tailslide,,,,,,TRUE
,17,1:31,https://www.youtube.com/watch?v=C6KDGPMsXBQ&t=91s&pp=0gcJCTAAlc8ueATH,,,Goofy,Mark Suciu,Bs Tailslide - Fs Pop ShuvIt,,,,,,TRUE
,18,1:06,https://www.youtube.com/watch?v=C6KDGPMsXBQ&t=66s,,,Goofy,Mark Suciu,Fs 50-50 - Bs 360 Ollie,,,,,,TRUE
,19,1:11,https://www.youtube.com/watch?v=C6KDGPMsXBQ&t=71s&pp=0gcJCTAAlc8ueATH,,,Goofy,Mark Suciu,Bs 50-50 - Fs Switch Fs Pop ShuvIt,,,,,,TRUE
,20,1:16,https://www.youtube.com/watch?v=C6KDGPMsXBQ&t=76s,,,Goofy,Mark Suciu,Bs Tailslide - Switch Fs Pop ShuvIt,,,,,,TRUE
,21,1:21,https://www.youtube.com/watch?v=C6KDGPMsXBQ&t=81s,,,Goofy,Mark Suciu,Switch Kickflip - Bs Tailslide,,,,,,TRUE
,22,0:15,https://www.youtube.com/watch?v=C6KDGPMsXBQ&t=15s&pp=0gcJCTAAlc8ueATH,,,Regular,Sean Malto,Bs Nosegrind - Nollie Kickflip,,,,,,TRUE
,23,0:38,https://www.youtube.com/watch?v=C6KDGPMsXBQ&t=38s,,,Regular,Walker Ryan,Fs Tailslide - Bs Pop ShuvIt,,,,,,TRUE
,,,,,,,,,,,,,,Home
